id	header	gene	species	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	cluster_best
ENST00000325558.11_PGA3_hg38	ENST00000325558.11#PGA3#hg38	PGA3	hg38	-0.28890664749315154	0.12291710760619723	0.052669174780758055	-0.05696259432988262	0.1290446293661093	-0.011156321326492693	0.08542755083993665	-0.01864853930107789	0.0030194173224897974	-0.023052020130874793	2
ENST00000378149.9_PGA4_hg38	ENST00000378149.9#PGA4#hg38	PGA4	hg38	-0.2892726431106968	0.1222937256313202	0.05281967384454298	-0.056815696124830464	0.12953145348924777	-0.010933843149293581	0.08657776596732236	-0.018404415437678127	0.0037164365560200295	-0.022927300325524057	2
ENST00000312403.10_PGA5_hg38	ENST00000312403.10#PGA5#hg38	PGA5	hg38	-0.2877557774209573	0.11777741683758985	0.06254792558623863	-0.049113960573653456	0.13106258854879485	-0.005862566647833127	0.0938562171809615	-0.026600913566231853	0.00536633786238808	-0.01024186547006697	2
hg38.ENST00000325558.11_PGA3_16_Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	hg38.ENST00000325558.11#PGA3#16#Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	PGA3	Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	-0.2792115461204274	0.0670842683265785	-0.04020109598218868	0.07641282234574219	-0.10072738007851288	-0.005380210565592922	0.05114376702817558	0.03994385548348078	0.005547145294756857	0.05779726588095176	2
mm10.ENSMUST00000025647_Pga5_69_Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	mm10.ENSMUST00000025647#Pga5#69#Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	Pga5	Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	-0.10678009582201432	-0.11268144348873661	-0.010461283947933171	0.01605202995176287	0.04913416740379684	-0.12907151517217652	-0.06559956362251484	0.09931306491497403	0.058190750062284524	0.0033200595827544022	3
mm10.ENSMUST00000025647_Pga5_13_Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah2	mm10.ENSMUST00000025647#Pga5#13#Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah2	Pga5	Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah2	-0.14603372418478805	-0.15895476306724385	0.04352816225507543	0.2317077431202947	-0.022344669375791906	0.12435880788185757	0.0072471744376993346	-0.013561634389871636	-0.039872615143985504	0.05305409783313585	3
mm10.ENSMUST00000025647_Pga5_15_Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1	mm10.ENSMUST00000025647#Pga5#15#Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1	Pga5	Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1	-0.1466164639679594	-0.1605106243244275	0.04309701129581966	0.23327687232141747	-0.02136199374592091	0.12051437615938479	0.0074849251837244	-0.005739634685442274	-0.039300736803252356	0.05292690531339031	3
mm10.ENSMUST00000025647_Pga5_15_Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1	mm10.ENSMUST00000025647#Pga5#15#Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1	Pga5	Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1	-0.1525032729824253	-0.16539151213434541	0.04187209747128015	0.22965268640605224	-0.015477873192702248	0.12222668883099108	0.01402436127010261	-0.03443578478814235	-0.036166299314741836	0.04490448855313435	3
mm10.ENSMUST00000025647_Pga5_13_Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1	mm10.ENSMUST00000025647#Pga5#13#Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1	Pga5	Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1	-0.13866877336569852	-0.13278495352189407	0.03482800720243765	0.216308857386585	0.0026247583938421477	0.08475902195376446	-0.03243203804051413	-0.03565947278962108	0.0212166927615531	0.05186296390172325	3
mm10.ENSMUST00000025647_Pga5_15_Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1	mm10.ENSMUST00000025647#Pga5#15#Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1	Pga5	Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1	-0.14430775814156688	-0.16555082936341642	0.0334060539866603	0.22295641290116622	-0.023446152337588434	0.13525217047759988	-0.0014468021537732522	-0.01060448297858898	-0.04912956362786022	0.04418404120989879	3
